X,carat,cut,color,clarity,depth,table,price,x,y,z
78,0.31,Ideal,F,VVS1,61.6,55,840,4.36,4.4,2.7
79,0.3,Ideal,E,VS2,62.3,56,844,4.32,4.28,2.68
80,0.7,Ideal,E,VVS2,61.6,56,4205,5.72,NA,3.53
81,0.34,Premium,H,VVS1,61.2,60,775,4.46,4.5,2.74
82,0.41,Premium,F,VS1,59.9,58,1076,4.84,4.81,2.89
83,1.06,Ideal,I,SI1,61.2,56,4749,6.6,6.57,NA
84,1.02,Premium,G,IF,61.8,59,8489,6.41,6.46,3.98
85,1.01,Very Good,E,NA,60.4,60,7094,6.47,6.44,3.9
86,0.3,Ideal,G,IF,61.6,53,863,NA,4.35,2.67
87,1,Fair,F,VS2,64.7,59,4829,6.22,6.15,4
88,0.73,Very Good,G,SI1,NA,59,2402,5.76,5.81,3.56
NA,1.41,Fair,H,I1,64.7,58,4145,7.05,7,4.55
90,0.7,Very Good,G,VS2,59.6,60,2501,5.71,5.8,3.43
91,1,Good,F,SI1,63.6,58,4939,6.31,6.27,4
92,0.27,Ideal,E,VVS2,62.5,57,622,4.1,4.13,2.57
93,0.31,Ideal,F,VS2,61.3,57,802,4.34,4.3,2.65
94,1.55,Ideal,F,SI1,61.3,56,11011,7.45,7.49,4.58
95,0.33,Idea,G,IF,61.7,58,968,4.42,4.46,2.74
96,1.07,Good,G,SI1,63.1,59,48610,6.45,6.49,4.08
97,1.02,Good,D,VS2,NA,58,7539,6.36,6.4,4.03
98,1.52,NA,J,SI1,60.4,59,5618,7.44,7.39,4.48
99,1.71,Very Good,D,SI2,63.5,59,11873,NA,7.59,4.81
100,0.44,Very Good,E,VS1,59.7,59,1090,4.94,5.01,2.97
14,0.58,Good,E,VS1,61.5,61.9,2041,5.3,5.34,3.27
99,1.71,Very Good,D,SI2,63.5,59,11873,NA,7.59,4.81
